case	env	rc	duration_sec	log
lightrag_hotpotqa_qwen_limit5_maxdocs5	baseline-lightrag	0	126	logs/smoke_cases/lightrag_hotpotqa_qwen_limit5_maxdocs5.log
graphrag_hotpotqa_qwen_limit5_maxdocs5	baseline-graphrag	0	53	logs/smoke_cases/graphrag_hotpotqa_qwen_limit5_maxdocs5.log
raptor_hotpotqa_qwen_limit5_maxdocs5	baseline-raptor	0	37	logs/smoke_cases/raptor_hotpotqa_qwen_limit5_maxdocs5.log
lightrag_musique_qwen_limit5_maxdocs5	baseline-lightrag	0	118	logs/smoke_cases/lightrag_musique_qwen_limit5_maxdocs5.log
graphrag_musique_qwen_limit5_maxdocs5	baseline-graphrag	1	13	logs/smoke_cases/graphrag_musique_qwen_limit5_maxdocs5.log
raptor_musique_qwen_limit5_maxdocs5	baseline-raptor	0	32	logs/smoke_cases/raptor_musique_qwen_limit5_maxdocs5.log
lightrag_2wiki_qwen_limit5_maxdocs5	baseline-lightrag	0	122	logs/smoke_cases/lightrag_2wiki_qwen_limit5_maxdocs5.log
graphrag_2wiki_qwen_limit5_maxdocs5	baseline-graphrag	1	13	logs/smoke_cases/graphrag_2wiki_qwen_limit5_maxdocs5.log
raptor_2wiki_qwen_limit5_maxdocs5	baseline-raptor	0	33	logs/smoke_cases/raptor_2wiki_qwen_limit5_maxdocs5.log
lightrag_hotpotqa_deepseek_limit1	baseline-lightrag	1	3	logs/smoke_cases/lightrag_hotpotqa_deepseek_limit1.log
graphrag_hotpotqa_deepseek_limit1	baseline-graphrag	1	3	logs/smoke_cases/graphrag_hotpotqa_deepseek_limit1.log
raptor_hotpotqa_deepseek_limit1	baseline-raptor	1	13	logs/smoke_cases/raptor_hotpotqa_deepseek_limit1.log
