case	env	rc	duration_sec	log
lightrag_hotpotqa_qwen_limit5_maxdocs5	baseline-lightrag	0	33	logs/smoke_cases/lightrag_hotpotqa_qwen_limit5_maxdocs5.log
graphrag_hotpotqa_qwen_limit5_maxdocs5	baseline-graphrag	0	42	logs/smoke_cases/graphrag_hotpotqa_qwen_limit5_maxdocs5.log
raptor_hotpotqa_qwen_limit5_maxdocs5	baseline-raptor	0	16	logs/smoke_cases/raptor_hotpotqa_qwen_limit5_maxdocs5.log
lightrag_musique_qwen_limit5_maxdocs5	baseline-lightrag	0	32	logs/smoke_cases/lightrag_musique_qwen_limit5_maxdocs5.log
graphrag_musique_qwen_limit5_maxdocs5	baseline-graphrag	1	12	logs/smoke_cases/graphrag_musique_qwen_limit5_maxdocs5.log
raptor_musique_qwen_limit5_maxdocs5	baseline-raptor	0	16	logs/smoke_cases/raptor_musique_qwen_limit5_maxdocs5.log
lightrag_2wiki_qwen_limit5_maxdocs5	baseline-lightrag	0	25	logs/smoke_cases/lightrag_2wiki_qwen_limit5_maxdocs5.log
graphrag_2wiki_qwen_limit5_maxdocs5	baseline-graphrag	1	12	logs/smoke_cases/graphrag_2wiki_qwen_limit5_maxdocs5.log
raptor_2wiki_qwen_limit5_maxdocs5	baseline-raptor	0	16	logs/smoke_cases/raptor_2wiki_qwen_limit5_maxdocs5.log
lightrag_hotpotqa_deepseek_limit5_maxdocs5	baseline-lightrag	0	135	logs/smoke_cases/lightrag_hotpotqa_deepseek_limit5_maxdocs5.log
graphrag_hotpotqa_deepseek_limit5_maxdocs5	baseline-graphrag	0	49	logs/smoke_cases/graphrag_hotpotqa_deepseek_limit5_maxdocs5.log
raptor_hotpotqa_deepseek_limit5_maxdocs5	baseline-raptor	0	21	logs/smoke_cases/raptor_hotpotqa_deepseek_limit5_maxdocs5.log
lightrag_musique_deepseek_limit5_maxdocs5	baseline-lightrag	0	135	logs/smoke_cases/lightrag_musique_deepseek_limit5_maxdocs5.log
graphrag_musique_deepseek_limit5_maxdocs5	baseline-graphrag	1	13	logs/smoke_cases/graphrag_musique_deepseek_limit5_maxdocs5.log
raptor_musique_deepseek_limit5_maxdocs5	baseline-raptor	0	23	logs/smoke_cases/raptor_musique_deepseek_limit5_maxdocs5.log
lightrag_2wiki_deepseek_limit5_maxdocs5	baseline-lightrag	0	110	logs/smoke_cases/lightrag_2wiki_deepseek_limit5_maxdocs5.log
graphrag_2wiki_deepseek_limit5_maxdocs5	baseline-graphrag	1	13	logs/smoke_cases/graphrag_2wiki_deepseek_limit5_maxdocs5.log
raptor_2wiki_deepseek_limit5_maxdocs5	baseline-raptor	0	23	logs/smoke_cases/raptor_2wiki_deepseek_limit5_maxdocs5.log
